Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Indiana Avenue,33,2.6829,315,2.5446,3301,2.6552,32945,2.6510,
Illinois Avenue,43,3.4959,385,3.1101,3780,3.0405,37927,3.0518,
B. & O. Railroad,41,3.3333,367,2.9647,3693,2.9705,36390,2.9282,
Atlantic Avenue,27,2.1951,326,2.6335,3250,2.6142,32198,2.5909,
Ventnor Avenue,30,2.4390,304,2.4558,3169,2.5490,32089,2.5821,
Water Works,32,2.6016,340,2.7466,3329,2.6777,33285,2.6783,
Marvin Gardens,32,2.6016,294,2.3750,3089,2.4847,30917,2.4878,
Go To Jail,29,2.3577,318,2.5689,3197,2.5715,31322,2.5204,
Pacific Avenue,32,2.6016,323,2.6093,3162,2.5434,31739,2.5539,
North Carolina Avenue,36,2.9268,312,2.5204,3125,2.5136,31384,2.5254,
Community Chest,26,2.1138,303,2.4477,3252,2.6158,32086,2.5818,
Pennsylvania Avenue,34,2.7642,301,2.4315,2897,2.3302,29568,2.3792,
Short Line,35,2.8455,308,2.4881,2901,2.3334,28944,2.3290,
Chance,24,1.9512,255,2.0599,2811,2.2610,27696,2.2286,
Park Place,23,1.8699,256,2.0680,2560,2.0592,26153,2.1044,
Luxury Tax,26,2.1138,261,2.1084,2651,2.1323,25981,2.0906,
Boardwalk,39,3.1707,294,2.3750,3125,2.5136,31198,2.5104,

Test # 4
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,34,2.7265,374,2.9934,3714,2.9842,36859,2.9660,
Mediterranean Avenue,23,1.8444,231,1.8489,2427,1.9501,25142,2.0231,
Community Chest,18,1.4435,241,1.9289,2490,2.0007,25423,2.0458,
Baltic Avenue,24,1.9246,269,2.1530,2635,2.1172,25855,2.0805,
Income Tax,29,2.3256,270,2.1610,2722,2.1871,27857,2.2416,
Reading Railroad,36,2.8869,351,2.8093,3575,2.8725,35473,2.8545,
