Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Oriental Avenue,25,2.1815,250,2.1264,2498,2.1280,25534,2.1659,
Chance,17,1.4834,253,2.1519,2531,2.1561,26279,2.2291,
Vermont Avenue,24,2.0942,236,2.0073,2626,2.2370,26133,2.2167,
Connecticut Avenue,19,1.6579,271,2.3050,2559,2.1800,25837,2.1916,
Jail / Just Visiting,27,2.3560,265,2.2540,2548,2.1706,25615,2.1728,
St. Charles Place,30,2.6178,299,2.5432,2976,2.5352,30557,2.5920,
Electric Company,29,2.5305,324,2.7558,3196,2.7226,31009,2.6304,
States Avenue,30,2.6178,260,2.2114,2672,2.2762,26355,2.2356,
Virginia Avenue,31,2.7051,302,2.5687,2902,2.4721,28867,2.4487,
Pennsylvania Railroad,28,2.4433,311,2.6452,3100,2.6408,31725,2.6911,
St. James Place,34,2.9668,345,2.9344,3218,2.7413,32113,2.7240,
Community Chest,24,2.0942,299,2.5432,3150,2.6834,31849,2.7016,
Tennessee Avenue,30,2.6178,329,2.7983,3288,2.8010,33258,2.8211,
New York Avenue,41,3.5777,355,3.0195,3463,2.9500,33905,2.8760,
Free Parking,38,3.3159,312,2.6537,3303,2.8137,33552,2.8461,
Kentucky Avenue,36,3.1414,325,2.7643,3238,2.7584,31561,2.6772,
Chance,24,2.0942,338,2.8749,3306,2.8163,33097,2.8075,
Indiana Avenue,29,2.5305,292,2.4836,3134,2.6698,30968,2.6269,
Illinois Avenue,35,3.0541,338,2.8749,3522,3.0003,35923,3.0472,
B. & O. Railroad,24,2.0942,343,2.9174,3424,2.9168,34451,2.9223,
Atlantic Avenue,37,3.2286,324,2.7558,3073,2.6178,30542,2.5907,
Ventnor Avenue,34,2.9668,318,2.7048,2978,2.5369,30411,2.5796,
Water Works,31,2.7051,293,2.4921,3118,2.6561,31566,2.6776,
Marvin Gardens,26,2.2688,285,2.4241,2935,2.5003,29360,2.4905,
Go To Jail,35,3.0541,297,2.5262,3058,2.6050,29706,2.5198,
Pacific Avenue,33,2.8796,305,2.5942,3007,2.5616,30160,2.5583,
North Carolina Avenue,26,2.2688,308,2.6197,2967,2.5275,29702,2.5195,
Community Chest,23,2.0070,295,2.5091,2960,2.5216,30504,2.5875,
Pennsylvania Avenue,29,2.5305,295,2.5091,2880,2.4534,28437,2.4122,
Short Line,29,2.5305,273,2.3220,2639,2.2481,27377,2.3223,
Chance,33,2.8796,256,2.1774,2631,2.2413,25777,2.1866,
Park Place,18,1.5707,239,2.0328,2515,2.1425,24734,2.0981,
Luxury Tax,25,2.1815,251,2.1349,2397,2.0419,24652,2.0911,
Boardwalk,24,2.0942,327,2.7813,2900,2.4704,29655,2.5155,

Test # 6
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,36,3.0691,340,2.9035,3462,2.9427,34899,2.9597,
Mediterranean Avenue,21,1.7903,254,2.1691,2421,2.0579,24167,2.0496,
Community Chest,19,1.6198,222,1.8958,2414,2.0519,24362,2.0661,
Baltic Avenue,29,2.4723,287,2.4509,2430,2.0655,24336,2.0639,
Income Tax,24,2.0460,290,2.4765,2749,2.3367,26499,2.2473,
Reading Railroad,30,2.5575,308,2.6302,3288,2.7948,33536,2.8441,
Oriental Avenue,27,2.3018,228,1.9471,2565,2.1803,25441,2.1576,
Chance,27,2.3018,270,2.3057,2615,2.2228,26193,2.2214,
Vermont Avenue,21,1.7903,241,2.0581,2548,2.1658,26275,2.2283,
Connecticut Avenue,24,2.0460,267,2.2801,2592,2.2032,25951,2.2009,
Jail / Just Visiting,28,2.3870,261,2.2289,2611,2.2194,25724,2.1816,
St. Charles Place,29,2.4723,311,2.6558,2987,2.5390,30571,2.5927,
Electric Company,28,2.3870,298,2.5448,3001,2.5509,30880,2.6189,
States Avenue,23,1.9608,238,2.0325,2633,2.2381,26053,2.2095,
Virginia Avenue,32,2.7280,322,2.7498,2978,2.5313,28717,2.4354,
Pennsylvania Railroad,45,3.8363,320,2.7327,3211,2.7294,32129,2.7248,
St. James Place,27,2.3018,306,2.6132,3137,2.6665,31796,2.6966,
Community Chest,36,3.0691,330,2.8181,3256,2.7676,31871,2.7029,
Tennessee Avenue,32,2.7280,329,2.8096,3421,2.9079,33888,2.8740,
New York Avenue,30,2.5575,323,2.7583,3273,2.7821,33821,2.8683,
Free Parking,34,2.8986,333,2.8437,3321,2.8229,33375,2.8305,
Kentucky Avenue,29,2.4723,334,2.8523,3249,2.7617,31588,2.6789,
Chance,35,2.9838,322,2.7498,3309,2.8127,33187,2.8145,
Indiana Avenue,29,2.4723,285,2.4338,3073,2.6121,30715,2.6049,
Illinois Avenue,44,3.7511,380,3.2451,3562,3.0277,35887,3.0435,
B. & O. Railroad,35,2.9838,332,2.8352,3449,2.9317,34768,2.9486,
Atlantic Avenue,37,3.1543,299,2.5534,2965,2.5203,30573,2.5929,
